Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
Simon Vestdijk	17 oktober 1898	1898-10-17	Harlingen	Harlingen	23 maart 1971	1971-03-23	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vest002	vest002	Simon	Vestdijk	Simon Vestdijk	apotheker/medicus	Harlingen	Harlingen	1898-10-17	1898-10-17	Utrecht	Utrecht	3/23/1971	1971-03-23	male	Harlingen	Harlingen			Utrecht	Utrecht			Twintigste Eeuw	17 oktober 1898	1898-10-17	23 maart 1971	1971-03-23	nl		apotheker/medicus	
Bert Decorte	2 juli 1915	1915-07-02	Retie	Retie	13 oktober 2009	2009-10-13			https://www.dbnl.org/auteurs/auteur.php?id=deco002	deco002	Joannes Martinus Albertus	Decorte	Bert Decorte	ambtenaar/vertaler	Retie	Retie	7/2/1915	1915-07-02			10/13/2009	2009-10-13	male	Retie	Retie							20e/21e Eeuw	2 juli 1915	1915-07-02	13 oktober 2009	2009-10-13	nl		ambtenaar/vertaler	
Martin Leopold	1908	1908-xx-xx			1982	1982-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=leop006	leop006	Martin	Leopold	Martin Kloostra/Martin Leopold				1908	1908-xx-xx			1982	1982-xx-xx	male									Twintigste Eeuw	1908	1908-xx-xx	1982	1982-xx-xx	nl			
Johan de Molenaar	18 april 1894	1894-04-18	Amsterdam	Amsterdam	31 maart 1969	1969-03-31	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=mole006	mole006	Johannes Gerardus	de Molenaar	Johan de Molenaar		Amsterdam	Amsterdam	1894-04-18	1894-04-18	Utrecht	Utrecht	3/31/1969	1969-03-31	male	Amsterdam	Amsterdam			Utrecht	Utrecht			Twintigste Eeuw	18 april 1894	1894-04-18	31 maart 1969	1969-03-31	nl			
André Demedts	8 augustus 1906	1906-08-08	Sint Baafs Vijve	Sint Baafs Vijve	4 november 1992	1992-11-04	Oudenaarde	Oudenaarde	https://www.dbnl.org/auteurs/auteur.php?id=deme001	deme001	André Maurits	Demedts	André Demedts/Koen Lisarde	leraar/agrariër/docent/hoogleraar	Sint Baafs Vijve	Sint Baafs Vijve	8/8/1906	1906-08-08	Oudenaarde	Oudenaarde	11/4/1992	1992-11-04	male	Sint Baafs Vijve	Sint Baafs Vijve			Oudenaarde	Oudenaarde			Twintigste Eeuw	8 augustus 1906	1906-08-08	4 november 1992	1992-11-04	nl		leraar/docent/hoogleraar/agrariër	
A.A. Smijers	19 juli 1888	1888-07-19			15 mei 1957	1957-05-15	Huis ter Heide ut	Huis ter Heide ut	https://www.dbnl.org/auteurs/auteur.php?id=smij003	smij003	Albertus Antonius	Smijers	A.A. Smijers/Albertus Antonius Smijers	leraar/docent/hoogleraar	Raamsdonksveer	Raamsdonksveer	1888-07-19	1888-07-19	Huis ter Heide	Huis ter Heide	5/15/1957	1957-05-15	male	Raamsdonksveer	Raamsdonksveer			Huis ter Heide ut	Huis ter Heide ut			Twintigste Eeuw	19 juli 1888	1888-07-19	15 mei 1957	1957-05-15	nl	secundair	leraar/docent/hoogleraar	
Piet Beek	29 juni 1910	1910-06-29			28 oktober 1990	1990-10-28			https://www.dbnl.org/auteurs/auteur.php?id=beek024	beek024	Piet	Beek	Piet Beek	redacteur/journalist			6/29/1910	1910-06-29			10/28/1990	1990-10-28	male									Twintigste Eeuw	29 juni 1910	1910-06-29	28 oktober 1990	1990-10-28		secundair	redacteur/journalist	
Willem Hoffman	1908	1908-xx-xx			1991	1991-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=hoff003	hoff003	Wilhelmus Adrianus Franciscus Xaverius	Hoffman	Willem Hoffman				1908	1908-xx-xx			1991	1991-xx-xx	male									Twintigste Eeuw	1908	1908-xx-xx	1991	1991-xx-xx		secundair		
Wiel van der Randen	10 maart 1897	1897-03-10	Venlo	Venlo	24 juli 1949	1949-07-24	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=rand005	rand005	Wilhelmus Hubertus Jacobus (Wiel)	van der Randen	Wiel van der Randen	illustrator/tekenaar/beeldend kunstenaar	Venlo	Venlo	1897-03-10	1897-03-10	Amsterdam	Amsterdam	7/24/1949	1949-07-24	male	Venlo	Venlo			Amsterdam	Amsterdam			Twintigste Eeuw	10 maart 1897	1897-03-10	24 juli 1949	1949-07-24	nl	nonfictie	illustrator/tekenaar/beeldend kunstenaar	
C.J. Vos	14 januari 1891	1891-01-14	Utrecht	Utrecht	9 oktober 1955	1955-10-09	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vos_005	vos_005	Cornelis Johannes	Vos	C.J. Vos	uitgever/boekdrukker/redacteur/journalist	Utrecht	Utrecht	1891-01-14	1891-01-14	Utrecht	Utrecht	10/9/1955	1955-10-09	male	Utrecht	Utrecht			Utrecht	Utrecht			Twintigste Eeuw	14 januari 1891	1891-01-14	9 oktober 1955	1955-10-09	nl		uitgever/boekdrukker/redacteur/journalist	
G. Engelberg	1912	1912-xx-xx	Antwerpen	Antwerpen					https://www.dbnl.org/auteurs/auteur.php?id=enge004	enge004	G.	Engelberg	G. Engelberg/Gerard Vercammen		Antwerpen	Antwerpen	1912	1912-xx-xx					male	Antwerpen	Antwerpen							Twintigste Eeuw	1912	1912-xx-xx			nl			
René Berghen	14 april 1901	1901-04-14	Antwerpen	Antwerpen	13 januari 1988	1988-01-13	Antwerpen	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=berg056	berg056	René	Berghen	René Berghen		Antwerpen	Antwerpen	4/14/1901	1901-04-14	Antwerpen	Antwerpen	1/13/1988	1988-01-13	male	Antwerpen	Antwerpen			Antwerpen	Antwerpen			Twintigste Eeuw	14 april 1901	1901-04-14	13 januari 1988	1988-01-13	nl			
Marcel Matthijs	11 januari 1899	1899-01-11	Oedelem (Beernem)	Oedelem	30 augustus 1964	1964-08-30	Brugge	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=matt009	matt009	Marcel Gustaaf	Matthijs	Marcel Matthijs	politicus/staatsman/bestuurder/ambachtsman	Beernem	Beernem	1899-01-11	1899-01-11	Brugge	Brugge	8/30/1964	1964-08-30	male	Oedelem (Beernem)	Oedelem			Brugge	Brugge			Twintigste Eeuw	11 januari 1899	1899-01-11	30 augustus 1964	1964-08-30	nl		staatsman/ambachtsman/bestuurder/politicus	
Maurice Gilliams	20 juli 1900	1900-07-20	Antwerpen	Antwerpen	18 oktober 1982	1982-10-18	Antwerpen	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=gill003	gill003	Maurice	Gilliams	Maurice Gilliams		Antwerpen	Antwerpen	7/20/1900	1900-07-20	Antwerpen	Antwerpen	10/18/1982	1982-10-18	male	Antwerpen	Antwerpen			Antwerpen	Antwerpen			Twintigste Eeuw	20 juli 1900	1900-07-20	18 oktober 1982	1982-10-18	nl			
Bert Verbist	1916	1916-xx-xx			1992	1992-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=verb020	verb020	Bert	Verbist	Bert Verbist				1916	1916-xx-xx			1992	1992-xx-xx	male									Twintigste Eeuw	1916	1916-xx-xx	1992	1992-xx-xx				
Blanka Gyselen	26 november 1909	1909-11-26	Antwerpen	Antwerpen	29 mei 1959	1959-05-29	Antwerpen	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=gyse001	gyse001	Blanka Maria Franciska	Gyselen	Blanka Gijselen/Blanka Gyselen		Antwerpen	Antwerpen	11/26/1909	1909-11-26	Antwerpen	Antwerpen	5/29/1959	1959-05-29	female	Antwerpen	Antwerpen			Antwerpen	Antwerpen			Twintigste Eeuw	26 november 1909	1909-11-26	29 mei 1959	1959-05-29	nl			
Albe	8 juni 1902	1902-06-08	Mechelen	Mechelen	10 oktober 1973	1973-10-10	Brussel	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=albe001	albe001		Albe	Albe/Kapitein Zeldenthuis/Piet Punt/Renaat Antoon Louisa Joostens	vertaler	Mechelen	Mechelen	6/8/1902	1902-06-08	Brussel	Brussel	10/10/1973	1973-10-10	male																	
Marnix van Gavere	31 december 1897	1897-12-31	Deinze	Deinze	27 januari 1974	1974-01-27	Deinze	Deinze	https://www.dbnl.org/auteurs/auteur.php?id=gave001	gave001	Marnix	van Gavere	Francois/Fernand Robert Pauwels/Marnix van Gavere		Deinze	Deinze	1897-12-31	1897-12-31	Deinze	Deinze	1/27/1974	1974-01-27	male	Deinze	Deinze			Deinze	Deinze			Twintigste Eeuw	31 december 1897	1897-12-31	27 januari 1974	1974-01-27	nl			
Gabriëlle Demedts	11 juni 1909	1909-06-11	Sint Baafs Vijve	Sint Baafs Vijve	6 september 2002	2002-09-06	Kortrijk	Kortrijk	https://www.dbnl.org/auteurs/auteur.php?id=deme003	deme003	Gabriëlle	Demedts	Gabriëlle Demedts		Sint Baafs Vijve	Sint Baafs Vijve	6/11/1909	1909-06-11	Kortrijk	Kortrijk	9/6/2002	2002-09-06	female	Sint Baafs Vijve	Sint Baafs Vijve			Kortrijk	Kortrijk			Twintigste Eeuw	11 juni 1909	1909-06-11	6 september 2002	2002-09-06	nl	secundair		
René Verbeeck	18 april 1904	1904-04-18	Wilsele	Wilsele	13 november 1979	1979-11-13	Mortsel	Mortsel	https://www.dbnl.org/auteurs/auteur.php?id=verb005	verb005	René	Verbeeck	René Verbeeck		Wilsele	Wilsele	4/18/1904	1904-04-18	Mortsel	Mortsel	11/13/1979	1979-11-13	male	Wilsele	Wilsele			Mortsel	Mortsel			Twintigste Eeuw	18 april 1904	1904-04-18	13 november 1979	1979-11-13	nl			
Edgar Twello	1918	1918-xx-xx			1959	1959-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=twel001	twel001	Edgar	Twello	B.A.J. Rogmans/Edgar Twello				1918	1918-xx-xx			1959	1959-xx-xx	male									Twintigste Eeuw	1918	1918-xx-xx	1959	1959-xx-xx				
A. van der Wey	1903	1903-xx-xx			1988	1988-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=wey_001	wey_001	Amandus	van der Wey	A. van der Wey	rk-geestelijke/kloosterling			1903	1903-xx-xx			1988	1988-xx-xx	male									Twintigste Eeuw	1903	1903-xx-xx	1988	1988-xx-xx		nonfictie	rk-geestelijke/kloosterling	
Charles Roelofsz	5 maart 1897	1897-03-05	Amsterdam	Amsterdam	5 augustus 1962	1962-08-05	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=roel010	roel010	Charles Frederick	Roelofsz	Charles Roelofsz	illustrator/tekenaar/beeldend kunstenaar	Amsterdam	Amsterdam	1897-03-05	1897-03-05	Amsterdam	Amsterdam	8/5/1962	1962-08-05	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Twintigste Eeuw	5 maart 1897	1897-03-05	5 augustus 1962	1962-08-05	nl	nonfictie	illustrator/tekenaar/beeldend kunstenaar	
August Vermeylen	12 mei 1872	1872-05-12	Brussel	Brussel	10 januari 1945	1945-01-10	Brussel	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=verm036	verm036	August	Vermeylen	A.V. de Meere/August Vermeylen/Karel de Visscher/Victor Lieber		Brussel	Brussel	1872-05-12	1872-05-12	Brussel	Brussel	1/10/1945	1945-01-10	male	Brussel	Brussel			Brussel	Brussel			19e/20e Eeuw	12 mei 1872	1872-05-12	10 januari 1945	1945-01-10	nl	secundair	kunsthandelaar/kunsthistoricus/staatsman/bestuurder/politicus	
Adrien Jans	22 oktober 1905	1905-10-22	Edegem	Edegem	24 september 1973	1973-09-24	Brussel	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=jans119	jans119	Adrien	Jans	Adrien Jans		Edegem	Edegem	10/22/1905	1905-10-22	Brussel	Brussel	9/24/1973	1973-09-24	male	Edegem	Edegem			Brussel	Brussel			Twintigste Eeuw	22 oktober 1905	1905-10-22	24 september 1973	1973-09-24	fr			
Hans Keilson	12 december 1909	1909-12-12	Bad Freienwalde	Bad Freienwalde	31 mei 2011	2011-05-31	Hilversum	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=coop001	coop001	Hans Alex	Keilson	Alexander Kailand/Benjamin Cooper/Hans Keilson	zielsverzorger/apotheker/ps.ther./psychol/medicus			12/12/1909	1909-12-12	Hilversum	Hilversum	5/31/2011	2011-05-31	male	Bad Freienwalde	Bad Freienwalde	Duitsland	Duitsland	Hilversum	Hilversum			Twintigste Eeuw	12 december 1909	1909-12-12	31 mei 2011	2011-05-31	nl		zielsverzorger/apotheker/ps.ther./psychol/medicus	
Jan Bent					ca. 1775	ca. 1775-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=bent004	bent004	Jan	Bent	Jan Bent				000?				ca. -17-5~		male									Achttiende Eeuw	?		ca. 1775	ca. 1775-xx-xx	nl			
Maurits Dekker	16 juli 1896	1896-07-16	Amsterdam	Amsterdam	7 oktober 1962	1962-10-07	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=dekk007	dekk007	Maurits Rudolf Joël	Dekker	Boris Robazki/Gerard van Arkel/Martin Redeke/Maurits Dekker		Amsterdam	Amsterdam	1896-07-16	1896-07-16	Amsterdam	Amsterdam	10/7/1962	1962-10-07	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Twintigste Eeuw	16 juli 1896	1896-07-16	7 oktober 1962	1962-10-07	nl			
Gustav Delory	10 september 1857	1857-09-10	Lille	Lille	17 augustus 1925	1925-08-17	Lille	Lille	https://www.dbnl.org/auteurs/auteur.php?id=delo002	delo002	Gustav	Delory	Gustav Delory		Lille	Lille	1857-09-10	1857-09-10	Lille	Lille	8/17/1925	1925-08-17	male	Rijsel	Rijsel			Rijsel	Rijsel			19e/20e Eeuw	10 september 1857	1857-09-10	17 augustus 1925	1925-08-17		nonfictie/buitenland		
Jacob Hendrik van Duinen	19 mei 1840	1840-05-19	Groningen	Groningen	7 november 1885	1885-11-07	Muiderberg	Muiderberg	https://www.dbnl.org/auteurs/auteur.php?id=duin006	duin006	Jacob Hendrik	van Duinen	Jacob Hendrik van Duinen	schilder	Groningen	Groningen	1840-05-19	1840-05-19	Muiderberg	Muiderberg	1885-11-07	1885-11-07	male	Groningen	Groningen			Muiderberg	Muiderberg			Negentiende Eeuw	19 mei 1840	1840-05-19	7 november 1885	1885-11-07	nl		schilder	
Joh. Hartog	1912	1912-xx-xx			1997	1997-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=hart062	hart062	Johan	Hartog	Joh. Hartog				1912	1912-xx-xx			1997	1997-xx-xx	male									Twintigste Eeuw	1912	1912-xx-xx	1997	1997-xx-xx		nonfictie		
Chris van der Weye	23 april 1888	1888-04-23	Amsterdam	Amsterdam	29 augustus 1973	1973-08-29	Muiden	Muiden	https://www.dbnl.org/auteurs/auteur.php?id=weye001	weye001	Chris	van der Weye	Albert Adam Perdeck/Chris van der Weye		Amsterdam	Amsterdam	1888-04-23	1888-04-23	Muiden	Muiden	8/29/1973	1973-08-29	male	Amsterdam	Amsterdam			Muiden	Muiden			Twintigste Eeuw	23 april 1888	1888-04-23	29 augustus 1973	1973-08-29	nl			
Bernard Delfgaauw	24 november 1912	1912-11-24	Amsterdam	Amsterdam	20 augustus 1993	1993-08-20	Haren	Haren	https://www.dbnl.org/auteurs/auteur.php?id=delf007	delf007	Bernardus Maria Ignatius	Delfgaauw	Bernard Delfgaauw	leraar/docent/filosoof/hoogleraar	Amsterdam	Amsterdam	11/24/1912	1912-11-24	Haren	Haren	8/20/1993	1993-08-20	male	Amsterdam	Amsterdam			Haren	Haren			Twintigste Eeuw	24 november 1912	1912-11-24	20 augustus 1993	1993-08-20			leraar/docent/filosoof/hoogleraar	
F.J.J. Buytendijk	1887	1887-xx-xx			1974	1974-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=buyt004	buyt004	Frederik Jacobus Johannes	Buytendijk	F.J.J. Buytendijk				1887	1887-xx-xx			1974	1974-xx-xx	male									Twintigste Eeuw	1887	1887-xx-xx	1974	1974-xx-xx	nl	nonfictie		
Roel Verlaan	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=verl002	verl002	Roel	Verlaan	Roel Verlaan				18xx	18xx-xx-xx					male									Twintigste Eeuw	?(19de eeuw)	18xx-xx-xx				nonfictie		
Leo Heirman	16 oktober 1914	1914-10-16	Lisse	Lisse	6 september 1982	1982-09-06	Vlieland	Vlieland	https://www.dbnl.org/auteurs/auteur.php?id=heir005	heir005	Leo Johannes Rudolf	Heirman	Leo Heirman		Lisse	Lisse	10/16/1914	1914-10-16	Vlieland	Vlieland	9/6/1982	1982-09-06	male	Lisse	Lisse			Vlieland	Vlieland			Twintigste Eeuw	16 oktober 1914	1914-10-16	6 september 1982	1982-09-06				
Albert C.A. Voortman					20ste eeuw	19xx-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=voor032	voor032	Albert C.A.	Voortman	Albert C.A. Voortman				000?				19xx	19xx-xx-xx	male									Twintigste Eeuw	?		?(20ste eeuw)	19xx-xx-xx	nl	jeugdliteratuur		
Max de Jong	25 december 1917	1917-12-25	Wageningen	Wageningen	10 juni 1951	1951-06-10	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jong045	jong045	Max Jelle	de Jong	Max de Jong		Wageningen	Wageningen	12/25/1917	1917-12-25	Amsterdam	Amsterdam	6/10/1951	1951-06-10	male	Wageningen	Wageningen			Amsterdam	Amsterdam			Twintigste Eeuw	25 december 1917	1917-12-25	10 juni 1951	1951-06-10	nl			
A.G.M. van de Wijnpersse	1925	1925-xx-xx			1968	1968-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=wijn039	wijn039	Alice Gerarda Maria	van de Wijnpersse	A.G.M. van de Wijnpersse/Zuster Hildegarde van de Wijnpersse	leraar/docent/hoogleraar/vertaler			1925	1925-xx-xx			1968	1968-xx-xx	female									Twintigste Eeuw	1925	1925-xx-xx	1968	1968-xx-xx		secundair	leraar/docent/hoogleraar/vertaler	
Robert Franquinet	5 juni 1915	1915-06-05	Amby	Amby	30 mei 1979	1979-05-30	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=fran024	fran024	Robert Marie Philomain Jozef	Franquinet	Joe van Herck/Panaít Xytheris/Robert Franquinet/Theophilos Heaeeso	schilder/redacteur/journalist	Amby	Amby	6/5/1915	1915-06-05	Maastricht	Maastricht	5/30/1979	1979-05-30	male	Amby	Amby			Maastricht	Maastricht			Twintigste Eeuw	5 juni 1915	1915-06-05	30 mei 1979	1979-05-30	nl	limburg	schilder/redacteur/journalist	
Maarten Vrolijk	14 mei 1919	1919-05-14	Scheveningen	Scheveningen	7 februari 1994	1994-02-07			https://www.dbnl.org/auteurs/auteur.php?id=vrol001	vrol001	Maarten	Vrolijk	Maarten Vrolijk/Max de Jonghe	journalist/redacteur/staatsman/bestuurder/politicus	Scheveningen	Scheveningen	5/14/1919	1919-05-14			2/7/1994	1994-02-07	male	Scheveningen	Scheveningen							Twintigste Eeuw	14 mei 1919	1919-05-14	7 februari 1994	1994-02-07	nl		journalist/redacteur/staatsman/bestuurder/politicus	
Bert Peleman	13 april 1915	1915-04-13	Puurs	Puurs	1995	1995-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=pele002	pele002	Bert	Peleman	Bert Peleman	uitgever/boekdrukker	Puurs	Puurs	4/13/1915	1915-04-13			1995	1995-xx-xx	male	Puurs	Puurs							Twintigste Eeuw	13 april 1915	1915-04-13	1995	1995-xx-xx	nl		uitgever/boekdrukker	
A. Marja	8 maart 1917	1917-03-08	Oude Leije	Oude Leije	10 januari 1964	1964-01-10	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=marj001	marj001	A.	Marja	A. Marja/Arend Theodoor Mooij	ambtenaar/vertaler	Oude Leije	Oude Leije	3/8/1917	1917-03-08	Den Haag	Den Haag	1/10/1964	1964-01-10	male	Oude Leije	Oude Leije			Den Haag	Den Haag			Twintigste Eeuw	8 maart 1917	1917-03-08	10 januari 1964	1964-01-10	nl		ambtenaar/vertaler	
Reinold Kuipers	26 augustus 1914	1914-08-26	Groningen	Groningen	12 september 2005	2005-09-12	Amstelveen	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=kuip016	kuip016	Reinold	Kuipers	Reinold Kuipers	uitgever/boekdrukker	Groningen	Groningen	8/26/1914	1914-08-26	Amstelveen	Amstelveen	9/12/2005	2005-09-12	male	Groningen	Groningen			Amstelveen	Amstelveen			Twintigste Eeuw	26 augustus 1914	1914-08-26	12 september 2005	2005-09-12	nl	secundair	uitgever/boekdrukker	
Ferd. Sassen	13 augustus 1894	1894-08-13	Nijmegen	Nijmegen	16 september 1971	1971-09-16	Lugano	Lugano	https://www.dbnl.org/auteurs/auteur.php?id=sass011	sass011	Ferdinand Léon Rudolph	Sassen	Ferd. Sassen	filosoof	Nijmegen	Nijmegen	1894-08-13	1894-08-13			9/16/1971	1971-09-16	male	Nijmegen	Nijmegen			Lugano	Lugano	Zwitserland	Zwitserland	Twintigste Eeuw	13 augustus 1894	1894-08-13	16 september 1971	1971-09-16	nl	nonfictie	filosoof	
D.A. de Graaf	1906	1906-xx-xx	Utrecht	Utrecht	1981	1981-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=graa004	graa004	D.A.	de Graaf	D.A. de Graaf		Utrecht	Utrecht	1906	1906-xx-xx			1981	1981-xx-xx	male	Utrecht	Utrecht							Twintigste Eeuw	1906	1906-xx-xx	1981	1981-xx-xx	nl			
Walter Breedveld	25 juli 1901	1901-07-25	Hertogenbosch	Hertogenbosch	18 december 1977	1977-12-18	Tilburg	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=bree005	bree005	Petrus Marinus Franciscus (Piet)	Breedveld	Alex Waardkamp/Han Serro/Piet van den Bogaert/Reinier de Muntel/Walter Breedveld		Hertogenbosch	Hertogenbosch	7/25/1901	1901-07-25	Tilburg	Tilburg	12/18/1977	1977-12-18	male	Hertogenbosch	Hertogenbosch			Tilburg	Tilburg			Twintigste Eeuw	25 juli 1901	1901-07-25	18 december 1977	1977-12-18	nl			
Marianne Philips	18 maart 1886	1886-03-18	Amsterdam	Amsterdam	13 mei 1951	1951-05-13	Naarden	Naarden	https://www.dbnl.org/auteurs/auteur.php?id=phil006	phil006	Marianne	Philips	Marianne Philips	staatsman/bestuurder/politicus	Amsterdam	Amsterdam	1886-03-18	1886-03-18	Naarden	Naarden	5/13/1951	1951-05-13	female	Amsterdam	Amsterdam			Naarden	Naarden			Twintigste Eeuw	18 maart 1886	1886-03-18	13 mei 1951	1951-05-13	nl		staatsman/bestuurder/politicus	
Jeanne Liedmeier	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lied004	lied004	Adriana Margaretha	Liedmeier	Adriana Margaretha van der Eng-Liedmeier/Agnes van der Marke/Jeanne Liedmeier	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				secundair	vertaler	
Max Prick van Wely	1909	1909-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=pric006	pric006	Max Arthur	Prick van Wely	Max Prick van Wely				1909	1909-xx-xx			2000	2000-xx-xx	male	Meester Cornelis	Meester Cornelis	Indonesië	Indonesië	Amsterdam	Amsterdam			Twintigste Eeuw	14 september 1909	1909-09-14	12 april 2000	2000-04-12	nl	secundair/nonfictie		
G. Vos de Wael	1849	1849-xx-xx			1952	1952-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=vos_043	vos_043	Gerardus Everhardus Maria	Vos de Wael	G. Vos de Wael				1849	1849-xx-xx			1952	1952-xx-xx	male									19e/20e Eeuw	1849	1849-xx-xx	1952	1952-xx-xx		secundair		
Loe Maas	28 mei 1911	1911-05-28	Maastricht	Maastricht	2 november 1970	1970-11-02	Maastricht	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=maas005	maas005	Loe	Maas	L.G.M. Snackers/Loe Maas	redacteur/journalist	Maastricht	Maastricht	5/28/1911	1911-05-28	Maastricht	Maastricht	11/2/1970	1970-11-02	male	Maastricht	Maastricht			Maastricht	Maastricht			Twintigste Eeuw	28 mei 1911	1911-05-28	2 november 1970	1970-11-02	nl	secundair/limburg	redacteur/journalist	
Frederik de Graaf	1913	1913-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=graa005	graa005	Frederik	de Graaf	Frederik de Graaf	illustrator/tekenaar/beeldend kunstenaar			1913	1913-xx-xx			1971	1971-xx-xx	male									Twintigste Eeuw	1913	1913-xx-xx	1971	1971-xx-xx		jeugdliteratuur	illustrator/tekenaar/beeldend kunstenaar	
K.J. Hahn	1912	1912-xx-xx			2001	2001-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=hahn001	hahn001	Karl Josef	Hahn	K.J. Hahn	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar			1912	1912-xx-xx			2001	2001-xx-xx	male									Twintigste Eeuw	1912	1912-xx-xx	2001	2001-xx-xx		secundair	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
Jacques Benoit	25 december 1901	1901-12-25	Leiden	Leiden	12 september 1991	1991-09-12	Vorden	Vorden	https://www.dbnl.org/auteurs/auteur.php?id=beno001	beno001	Jacobus Joseph Maria (Jacques)	Benoit	Climacus Bayer/Jacobus Joseph Maria Bayer/Jacques Benoit	tekenaar/kloosterling/leraar/hoogleraar/vertaler/illustrator/docent/rk-geestelijke/beeldend kunstenaar	Leiden	Leiden	12/25/1901	1901-12-25	Vorden	Vorden	9/12/1991	1991-09-12	male	Leiden	Leiden			Vorden	Vorden			Twintigste Eeuw	25 december 1901	1901-12-25	12 september 1991	1991-09-12	nl		kloosterling/tekenaar/leraar/hoogleraar/vertaler/illustrator/docent/rk-geestelijke/beeldend kunstenaar	
Hendrik Houwens Post	18 september 1904	1904-09-18	Soerakarta	Soerakarta	1 september 1986	1986-09-01	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=houw013	houw013	Hendrik	Houwens Post	Hendrik Houwens Post	letterkundige (NIET-neerl.)			9/18/1904	1904-09-18	Utrecht	Utrecht	9/1/1986	1986-09-01	male	Soerakarta	Soerakarta	Indonesië	Indonesië	Utrecht	Utrecht			Twintigste Eeuw	18 september 1904	1904-09-18	1 september 1986	1986-09-01	nl	secundair	letterkundige (NIET-neerl.)	
Hélène Nolthenius	9 april 1920	1920-04-09	Amsterdam	Amsterdam	22 april 2000	2000-04-22			https://www.dbnl.org/auteurs/auteur.php?id=nolt001	nolt001	Hélène	Nolthenius	Hélène Nolthenius/Hélène Wagenaar-Nolthenius	archeoloog/historicus	Amsterdam	Amsterdam	4/9/1920	1920-04-09			4/22/2000	2000-04-22	female	Amsterdam	Amsterdam							Twintigste Eeuw	9 april 1920	1920-04-09	22 april 2000	2000-04-22	nl	secundair	archeoloog/historicus	
Johan Berger	30 november 1919	1919-11-30	Aalst	Aalst	1981	1981-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=berg033	berg033	Johan	Berger	Johan Berger		Aalst	Aalst	11/30/1919	1919-11-30			1981	1981-xx-xx	male	Aalst	Aalst							Twintigste Eeuw	30 november 1919	1919-11-30	1981	1981-xx-xx	nl			
