Author	DOB	POB	DOD	POD	Link	identifier
A.C.M. Kurpershoek-Scherft	16 februari 1921	Den Haag	25 januari 1999	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kurp003	kurp003
D.G. van Vreumingen					https://www.dbnl.org/auteurs/auteur.php?id=vreu008	vreu008
Hans Lodeizen	20 juli 1924	Naarden	26 juli 1950	Lausanne	https://www.dbnl.org/auteurs/auteur.php?id=lode001	lode001
Lucebert	15 september 1924	Amsterdam	10 mei 1994	Alkmaar	https://www.dbnl.org/auteurs/auteur.php?id=luce001	luce001
Gerard Diels	3 januari 1897	Amsterdam	19 oktober 1956	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=diel002	diel002
Theo J. van der Wal	14 september 1910	Maastricht	24 juli 1984	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=wal_008	wal_008
Josine Reuling	29 september 1899	Amsterdam	21 oktober 1961	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=reul001	reul001
H.E. Greve	30 december 1878	Ambarawa	24 december 1957	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=grev001	grev001
J.C.A. Fetter	12 oktober 1885		24 juni 1959		https://www.dbnl.org/auteurs/auteur.php?id=fett001	fett001
Christine D'haen	25 oktober 1923	Sint-Amandsberg, Gent	3 september 2009	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=dhae005	dhae005
W.J. van der Molen	9 december 1923	Broek op Langendijk	maart 2002	Orvelte	https://www.dbnl.org/auteurs/auteur.php?id=mole005	mole005
Tom Eekman	20 mei 1923	Middelharnis	9 juni 2012	Laren	https://www.dbnl.org/auteurs/auteur.php?id=eekm001	eekm001
G.J. van der Woude	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=woud033	woud033
Carlo (graaf) Sforza	25 september 1872	Montignoso di Lunigiana	4 september 1952	Rome	https://www.dbnl.org/auteurs/auteur.php?id=sfor001	sfor001
Giacomo Leopardi	1798		1837		https://www.dbnl.org/auteurs/auteur.php?id=leop002	leop002
A.H. Luijdjens	1900		1991		https://www.dbnl.org/auteurs/auteur.php?id=luij006	luij006
Enrico Nencioni	1 januari 1837	Florence	25 augustus 1896	Ardenza	https://www.dbnl.org/auteurs/auteur.php?id=nenc001	nenc001
Gabriele d' Annunzio	12 maart 1863	Pescara	1 maart 1938	Gardone Riviera	https://www.dbnl.org/auteurs/auteur.php?id=annu001	annu001
Goffredo Bellonci	5 september 1882		31 augustus 1964	Lido di Camaiore	https://www.dbnl.org/auteurs/auteur.php?id=bell042	bell042
G.A. Bouwman-Pot	1916				https://www.dbnl.org/auteurs/auteur.php?id=bouw034	bouw034
Vitaliano Brancati	24 juli 1907	Pachino	25 september 1954	Turijn	https://www.dbnl.org/auteurs/auteur.php?id=bran122	bran122
Antonio Baldini	10 oktober 1889	Rome	6 november 1962	Rome	https://www.dbnl.org/auteurs/auteur.php?id=bald015	bald015
Bruno Zevi	1918		2000		https://www.dbnl.org/auteurs/auteur.php?id=zevi001	zevi001
Umberto Saba	9 maart 1883	Trieste	25 augustus 1957	Gorizia	https://www.dbnl.org/auteurs/auteur.php?id=saba002	saba002
Giulio Carlo Argan	17 mei 1909		12 november 1992		https://www.dbnl.org/auteurs/auteur.php?id=arga001	arga001
Corrado Govoni	1884		1965		https://www.dbnl.org/auteurs/auteur.php?id=govo001	govo001
Lionello Venturi	1885		1961		https://www.dbnl.org/auteurs/auteur.php?id=vent005	vent005
Silvio d' Amico	3 februari 1887		1 april 1955		https://www.dbnl.org/auteurs/auteur.php?id=amic004	amic004
Eugenio Montale	12 oktober 1896	Genua	12 september 1981	Milaan	https://www.dbnl.org/auteurs/auteur.php?id=mont105	mont105
Mario Verdone	27 juli 1917		26 juni 2009	Rome	https://www.dbnl.org/auteurs/auteur.php?id=verd049	verd049
Massimo Mila	1910		1988		https://www.dbnl.org/auteurs/auteur.php?id=mila006	mila006
Emilio Lavagnino	22 augustus 1898	Rome	12 april 1963	Genève	https://www.dbnl.org/auteurs/auteur.php?id=lava004	lava004
Hugo Claus	5 april 1929	Brugge	19 maart 2008	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=clau005	clau005
Fred Polak	1907		1985		https://www.dbnl.org/auteurs/auteur.php?id=pola036	pola036
David Scheinert	1916	Czestochowa	1996	Koekelberg	https://www.dbnl.org/auteurs/auteur.php?id=sche272	sche272
H. de la Fontaine Verwey	30 december 1903	Hilversum	17 december 1989	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=font006	font006
J.G. van der Ploeg	22 januari 1916	Rotterdam	13 december 1986	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=ploe020	ploe020
A. Kessen	25 oktober 1904	Maastricht	12 juni 1960	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=kess005	kess005
J.Th. Spaan			19de eeuw		https://www.dbnl.org/auteurs/auteur.php?id=spaa015	spaa015
Charles Baudelaire	9 april 1821	Parijs	31 augustus 1867	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=baud026	baud026
Gerben Colmjon	16 augustus 1899		25 december 1972		https://www.dbnl.org/auteurs/auteur.php?id=colm004	colm004
Barend de Goede	1915		1995		https://www.dbnl.org/auteurs/auteur.php?id=goed003	goed003
D.Th. Enklaar	16 juli 1894		6 maart 1962		https://www.dbnl.org/auteurs/auteur.php?id=enkl001	enkl001
Maria Dermoût	15 juni 1888	Pekalongan (Java)	27 juni 1962	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=derm001	derm001
H.W.J. Kroes	21 augustus 1883	Zwolle	3 mei 1962	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kroe002	kroe002
J.A. Rispens	5 december 1889	Noordwijk aan Zee	27 maart 1962	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=risp001	risp001
W.A.F. Stokhuyzen	12 juli 1901		14 oktober 1979	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=stok018	stok018
H.I. Keus					https://www.dbnl.org/auteurs/auteur.php?id=keus003	keus003
Marius Wilhelm Holtrop	1902		1988		https://www.dbnl.org/auteurs/auteur.php?id=holt072	holt072
W.R. Heere	14 augustus 1892	Amersfoort	23 juni 1969	Tilburg	https://www.dbnl.org/auteurs/auteur.php?id=heer082	heer082
J.P. van Praag	1912		1981		https://www.dbnl.org/auteurs/auteur.php?id=praa003	praa003
H.C. van de Hulst	1918		2000		https://www.dbnl.org/auteurs/auteur.php?id=huls070	huls070
A.D. de Groot	26 oktober 1914	Santpoort	13 augustus 2006	Schiermonnikoog	https://www.dbnl.org/auteurs/auteur.php?id=groo004	groo004
Jan Peters			17de eeuw		https://www.dbnl.org/auteurs/auteur.php?id=pete023	pete023
C.A.R. Graamans					https://www.dbnl.org/auteurs/auteur.php?id=graa076	graa076
J.J. Vriend	4 juli 1896	Gorinchem	1974		https://www.dbnl.org/auteurs/auteur.php?id=vrie177	vrie177
Charles Wentinck	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=went002	went002
W. Drees	5 juli 1886	Amsterdam	14 mei 1988	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=dree003	dree003
Leo van Egeraat	14 december 1923	Langeweg	30 juli 1991	Ulvenhout	https://www.dbnl.org/auteurs/auteur.php?id=eger003	eger003
G.J. de Grooth	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=groo103	groo103
A. van Lennep	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lenn022	lenn022
Remco Campert	28 juli 1929	Den Haag			https://www.dbnl.org/auteurs/auteur.php?id=camp015	camp015
Jan de Jong	1921				https://www.dbnl.org/auteurs/auteur.php?id=jong033	jong033
J.H.J. van der Pot	1918	Roosendaal	21 juli 1999	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=pot_035	pot_035
Maps Valk	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=valk001	valk001
H. Wielek	13 maart 1912	Keulen	7 september 1988	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wiel008	wiel008
G.W. Wolthuis	1906		1963		https://www.dbnl.org/auteurs/auteur.php?id=wolt008	wolt008
A.A.M. Horsting-Boerma	1883	Veendam	1953		https://www.dbnl.org/auteurs/auteur.php?id=hors023	hors023
William Faulkner	25 september 1897		6 juli 1962	Oxford	https://www.dbnl.org/auteurs/auteur.php?id=faul001	faul001
Justus Meyer	31 oktober 1893		30 augustus 1958		https://www.dbnl.org/auteurs/auteur.php?id=meye053	meye053
Ch.G. Matser	1 juni 1904	Arnhem	5 februari 1973		https://www.dbnl.org/auteurs/auteur.php?id=mats007	mats007
W.J. de Haas	15 januari 1853	Amsterdam	24 juni 1899		https://www.dbnl.org/auteurs/auteur.php?id=haas027	haas027
H.B.G. Casimir	15 juli 1909	Den Haag	4 mei 2000		https://www.dbnl.org/auteurs/auteur.php?id=casi003	casi003
J.E. de Vos van Steenwijk	30 april 1889	Zwolle	16 juli 1978		https://www.dbnl.org/auteurs/auteur.php?id=vos_045	vos_045
P.O.F.M. Cremers	6 mei 1904	Arnhem	10 oktober 1983		https://www.dbnl.org/auteurs/auteur.php?id=crem020	crem020
W.A. Braasem	23 november 1918	Soerabaja	12 april 1987	Hoorn	https://www.dbnl.org/auteurs/auteur.php?id=braa010	braa010
F.G.L. van der Meer	1904		1994		https://www.dbnl.org/auteurs/auteur.php?id=meer002	meer002
Cola Debrot	4 mei 1902	Kralendijk	2 december 1981	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=debr003	debr003
Guillaume van der Graft	15 augustus 1920	Rotterdam	21 november 2010	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=graf002	graf002
A.L. Sötemann	11 augustus 1920	Warmenhuizen	28 september 2002	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=sote001	sote001
Julien Jozef Kuypers	14 augustus 1892	Pepingen	16 november 1967	Vorst	https://www.dbnl.org/auteurs/auteur.php?id=kuyp011	kuyp011
Hendrik Jan Reinink	31 juli 1901	Groningen	19 januari 1979	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=rein011	rein011
K.H.R. de Josselin de Jong	9 juli 1903	Den Haag	25 november 1991	Warnsveld	https://www.dbnl.org/auteurs/auteur.php?id=joss001	joss001
Ad den Besten	11 maart 1923	Utrecht	31 maart 2015	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=best004	best004
Pier Westra	29 april 1895		24 juli 1956		https://www.dbnl.org/auteurs/auteur.php?id=west121	west121
Harry Mulisch	29 juli 1927	Haarlem	30 oktober 2010	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=muli002	muli002
M.J. Francken	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=fran008	fran008
Ch. van Os	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=os__001	os__001
Charles Webster	25 juli 1886		augustus 1961		https://www.dbnl.org/auteurs/auteur.php?id=webs002	webs002
J. Vaissier	20ste eeuw		2004		https://www.dbnl.org/auteurs/auteur.php?id=vais001	vais001
Ernest Barker	23 september 1874		17 februari 1960		https://www.dbnl.org/auteurs/auteur.php?id=bark011	bark011
William A. Robson	14 juli 1895		12 mei 1980		https://www.dbnl.org/auteurs/auteur.php?id=robs001	robs001
Oscar R. Hobson	1886		1961		https://www.dbnl.org/auteurs/auteur.php?id=hobs003	hobs003
William Wilson	1875		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=wils023	wils023
Thomas Hardy	1840		1928		https://www.dbnl.org/auteurs/auteur.php?id=hard075	hard075
Dylan Thomas	27 oktober 1914	Swansea	9 november 1953	New York	https://www.dbnl.org/auteurs/auteur.php?id=thom050	thom050
Max Schuchart	16 augustus 1920	Rotterdam	25 februari 2005	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=schu004	schu004
Doris Lessing	22 oktober 1919	Kermanshah	17 november 2013	Londen	https://www.dbnl.org/auteurs/auteur.php?id=less009	less009
Reyner Banham	2 maart 1922		19 maart 1988		https://www.dbnl.org/auteurs/auteur.php?id=banh002	banh002
J. Kröner	1920		1997		https://www.dbnl.org/auteurs/auteur.php?id=kron011	kron011
Robert Melville	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=melv005	melv005
Marius Flothuis	30 oktober 1914	Amsterdam	13 november 2001	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=flot001	flot001
C. Nicolaï	1918		2000		https://www.dbnl.org/auteurs/auteur.php?id=nico014	nico014
Charles Boost	8 maart 1907	Breda	1 januari 1990	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=boos003	boos003
F. Bender	1903	Amsterdam	1998		https://www.dbnl.org/auteurs/auteur.php?id=bend012	bend012
J.H. Huizinga	17 juni 1908	Groningen	1 maart 1994		https://www.dbnl.org/auteurs/auteur.php?id=huiz031	huiz031
H.H.J. de Leeuwe	15 januari 1916	Essen	2 oktober 2006	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=leeu013	leeu013
Leo Herberghs	21 juli 1924	Heerlen	11 mei 2019	Heerlen	https://www.dbnl.org/auteurs/auteur.php?id=herb001	herb001
A.C. Niemeyer	1915		2000		https://www.dbnl.org/auteurs/auteur.php?id=niem012	niem012
J. Petri	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=petr061	petr061
Herman van den Bergh	30 januari 1897	Amsterdam	1 augustus 1967	Rome	https://www.dbnl.org/auteurs/auteur.php?id=berg043	berg043
Henri Wiessing	27 juni 1878	Vlissingen	16 maart 1961	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wies001	wies001
David Koning	13 oktober 1920	Amsterdam	24 februari 1971	Laren	https://www.dbnl.org/auteurs/auteur.php?id=koni080	koni080
Adriaan van der Veen	16 december 1916	Venray	7 maart 2003	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=veen001	veen001
Harriët Laurey	20 december 1924	Eindhoven	25 juli 2004	Lage Mierde	https://www.dbnl.org/auteurs/auteur.php?id=laur005	laur005
J.H. Kernkamp	15 augustus 1904	Utrecht	10 oktober 1980	Bilthoven	https://www.dbnl.org/auteurs/auteur.php?id=kern008	kern008
G.H.M. van Huet	10 september 1911	Rotterdam	27 december 1975	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=huet002	huet002
Alfred Kossmann	31 januari 1922	Leiden	27 juni 1998	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=koss001	koss001
Anton Kloppers	31 januari 1919	Semarang	23 december 1974	Grächen	https://www.dbnl.org/auteurs/auteur.php?id=klop001	klop001
Arthur Lehning	23 oktober 1899	Utrecht	1 januari 2000	Lys-St.-Georges	https://www.dbnl.org/auteurs/auteur.php?id=lehn001	lehn001
P. Minderaa	3 december 1893	Amsterdam	27 mei 1968	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=mind002	mind002
J.G. de Beus	18 oktober 1909		23 juni 1991	Founex	https://www.dbnl.org/auteurs/auteur.php?id=beus009	beus009
A. Graafhuis	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=graa036	graa036
Jan Wit	7 juli 1914	Nijmegen	26 augustus 1980	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=wit_006	wit_006
A. Alberts	23 augustus 1911	Haarlem	16 december 1995	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=albe009	albe009
J.W. Schulte Nordholt	12 september 1920	Zwolle	16 augustus 1995	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=schu016	schu016
Bernard Vlekke	1899	Oud en Nieuw Gastel	3 juli 1970		https://www.dbnl.org/auteurs/auteur.php?id=vlek002	vlek002
W.H. Somermeyer					https://www.dbnl.org/auteurs/auteur.php?id=some033	some033
E.W. Hofstee	1909		1987		https://www.dbnl.org/auteurs/auteur.php?id=hofs022	hofs022
W.H.C. Tenhaeff	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=tenh002	tenh002
Leo Vroman	10 april 1915	Gouda	22 februari 2014	Fort Worth	https://www.dbnl.org/auteurs/auteur.php?id=vrom001	vrom001
L.P.J. Braat	1908	Arnhem	1982		https://www.dbnl.org/auteurs/auteur.php?id=braa012	braa012
Josepha Mendels	18 juli 1902	Groningen	10 september 1995	Eindhoven	https://www.dbnl.org/auteurs/auteur.php?id=mend001	mend001
Jan Vermeulen	11 mei 1923	Leiden	10 april 1985	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=verm027	verm027
B.W. Schaper	3 februari 1907	Voorburg	16 juli 1991	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=scha062	scha062
Yge Foppema	6 september 1901	Dedemsvaart	2 december 1993	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=fopp002	fopp002
Jacques den Haan	27 maart 1908	Rotterdam	22 november 1982	Beekbergen	https://www.dbnl.org/auteurs/auteur.php?id=haan009	haan009
C. Vermeer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verm109	verm109
Cornelis Rijnsdorp	19 september 1894	Delfshaven	12 februari 1982	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=rijn010	rijn010
J.J. Beljon	11 januari 1922	Schoten	12 december 2002	Oud-Beijerland	https://www.dbnl.org/auteurs/auteur.php?id=belj001	belj001
Christiaan Terpstra	8 april 1895	Den Helder	1 februari 1971	Vriezenveen	https://www.dbnl.org/auteurs/auteur.php?id=terp001	terp001
Michaël Deak	18 september 1920	Alkmaar			https://www.dbnl.org/auteurs/auteur.php?id=deak001	deak001
J.B. Charles	25 augustus 1910	Zwolle	29 juli 1983	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=char004	char004
Ido Keekstra	27 november 1909	Groningen	27 november 1965	tussen Hoofddorp en Heemstede	https://www.dbnl.org/auteurs/auteur.php?id=keek001	keek001
Rie Cramer	10 oktober 1887	Sukabumi	18 juli 1977	Laren	https://www.dbnl.org/auteurs/auteur.php?id=cram006	cram006
J.H. Plokker	3 oktober 1907	Rotterdam	9 mei 1976	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=plok002	plok002
Nico Rost	21 juni 1896	Groningen	1 februari 1967	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=rost001	rost001
August Defresne	6 november 1893	Maastricht	2 april 1961	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=defr001	defr001
Bert Schierbeek	28 juni 1918	Glanerbrug	9 juni 1996	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=schi003	schi003
J. Presser	24 februari 1899	Amsterdam	30 april 1970	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=pres003	pres003
Marga Minco	31 maart 1920	Ginneken			https://www.dbnl.org/auteurs/auteur.php?id=minc001	minc001
Nico Wijnen	1916		4 februari 1998		https://www.dbnl.org/auteurs/auteur.php?id=wijn011	wijn011
Jan Meulenbelt	8 maart 1921	Amsterdam	4 november 2011		https://www.dbnl.org/auteurs/auteur.php?id=meul018	meul018
Abel J. Herzberg	17 september 1893	Amsterdam	19 mei 1989	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=herz001	herz001
E.A.A. Vermeer	20ste eeuw		1996		https://www.dbnl.org/auteurs/auteur.php?id=verm097	verm097
P.J. Arisz	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=aris003	aris003
Hubert van Herreweghen	16 februari 1920	Pamel-Roosdaal	4 november 2016	Dilbeek	https://www.dbnl.org/auteurs/auteur.php?id=herr003	herr003
Maarten Mourik	18 februari 1923	Streefkerk	30 september 2002	Callantsoog	https://www.dbnl.org/auteurs/auteur.php?id=mour003	mour003
K. Lekkerkerker	15 november 1910	Willeskop	28 augustus 2006	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=lekk001	lekk001
Hafis	ca. 1320	Iran	ca. 1390		https://www.dbnl.org/auteurs/auteur.php?id=hafi001	hafi001
C. Bittremieux	11 januari 1920	Nieuwpoort	23 april 2003	Herent	https://www.dbnl.org/auteurs/auteur.php?id=bitt002	bitt002
Adriaan Morriën	5 juni 1912	Velsen	7 juni 2002	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=morr001	morr001
Liane Bruylants	6 januari 1921	Berchem	27 maart 2009	Veurne	https://www.dbnl.org/auteurs/auteur.php?id=bruy003	bruy003
J.H. Schouten	1893				https://www.dbnl.org/auteurs/auteur.php?id=scho360	scho360
Henk Romijn Meijer	9 augustus 1929	Zwolle	23 februari 2008	Souillac	https://www.dbnl.org/auteurs/auteur.php?id=romi004	romi004
M. Vasalis	13 februari 1909	Den Haag	16 oktober 1998	Roden	https://www.dbnl.org/auteurs/auteur.php?id=vasa001	vasa001
J. Valentin	24 oktober 1926	Den Haag			https://www.dbnl.org/auteurs/auteur.php?id=vale025	vale025
W.F. Dankbaar	13 september 1907	Amsterdam	15 januari 2001	Oosterwolde	https://www.dbnl.org/auteurs/auteur.php?id=dank004	dank004
Magda Révész-Alexander					https://www.dbnl.org/auteurs/auteur.php?id=reve013	reve013
Evert Werkman	1915		1988		https://www.dbnl.org/auteurs/auteur.php?id=werk015	werk015
Rein Blijstra	29 augustus 1901	Harlingen	10 augustus 1975	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=blij001	blij001
Reinder P. Meijer	2 januari 1926	Zwolle	29 september 1993	Londen	https://www.dbnl.org/auteurs/auteur.php?id=meij019	meij019
Klaas Wiersma	1916		1993		https://www.dbnl.org/auteurs/auteur.php?id=wier048	wier048
Elsa Frank	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=fran169	fran169
C.B. van Haeringen	16 mei 1892		21 juni 1983		https://www.dbnl.org/auteurs/auteur.php?id=haer001	haer001
Louis Saalborn	13 juni 1891	Rotterdam	18 juni 1957	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=saal002	saal002
Ary den Hertog	7 oktober 1889	Den Haag	17 december 1958	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=hert002	hert002
Ben Stroman	21 april 1902	Rotterdam	18 april 1985	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=stro004	stro004
Mary Dresselhuys	1907		2004		https://www.dbnl.org/auteurs/auteur.php?id=dres009	dres009
Jan Willem Hofstra	13 november 1907	Amsterdam	30 maart 1991	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hofs005	hofs005
B. Hunningher	1903	Vlissingen	1991		https://www.dbnl.org/auteurs/auteur.php?id=hunn002	hunn002
Jan Walravens	7 augustus 1920	Anderlecht	25 juni 1965	Ukkel	https://www.dbnl.org/auteurs/auteur.php?id=walr007	walr007
W.P. Pos	26 oktober 1912	Amsterdam	4 januari 1977	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=pos_005	pos_005
Luisa Treves	15 november 1919	Amsterdam	21 oktober 2015		https://www.dbnl.org/auteurs/auteur.php?id=trev001	trev001
E. Elias	12 september 1900	Amsterdam	14 januari 1967	Delft	https://www.dbnl.org/auteurs/auteur.php?id=elia001	elia001
Wim Vesseur					https://www.dbnl.org/auteurs/auteur.php?id=vess005	vess005
A. Pitlo	23 september 1901	Arnhem	23 maart 1987	Overveen	https://www.dbnl.org/auteurs/auteur.php?id=pitl002	pitl002
Luc Lutz	17 november 1924	Delft	16 november 2001	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=lutz007	lutz007
G.A.M. Eickholt	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=eick006	eick006
Tjalie Robinson	10 januari 1911	Nijmegen	22 april 1974	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=robi009	robi009
Léon de Greiff	22 juli 1895		11 juli 1976	Bogotá	https://www.dbnl.org/auteurs/auteur.php?id=grei009	grei009
Elizabeth da Costa Gomez	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=cost057	cost057
J.J.A. Mooij	18 februari 1929	Gramsbergen			https://www.dbnl.org/auteurs/auteur.php?id=mooi002	mooi002
A. Teeuw	12 augustus 1921	Gorinchem	18 mei 2012		https://www.dbnl.org/auteurs/auteur.php?id=teeu003	teeu003
C.L.W. Fock	27 januari 1905	Den Helder	9 juli 1999	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=fock036	fock036
Pieter S. Gerbrandy	13 april 1885	Goënga	1961	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=gerb005	gerb005
Rob Nieuwenhuys	30 juni 1908	Semarang	7 november 1999	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=nieu018	nieu018
J.D. Meerwaldt	16 maart 1888	Amsterdam	4 juli 1966	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=meer036	meer036
James S. (Jim) Holmes	2 mei 1924	Collins, Iowa	6 november 1986	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=holm007	holm007
Dirk Volker Nijland	1914		1985		https://www.dbnl.org/auteurs/auteur.php?id=nijl001	nijl001
Max Croiset	13 augustus 1912	Blaricum	7 april 1993	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=croi001	croi001
Cees Nooteboom	31 juli 1933	Den Haag			https://www.dbnl.org/auteurs/auteur.php?id=noot003	noot003
M.H.J. Verjans					https://www.dbnl.org/auteurs/auteur.php?id=verj003	verj003
Nel Noordzij	17 oktober 1923	Rotterdam	7 september 2003	Thonon-les-Bains	https://www.dbnl.org/auteurs/auteur.php?id=noor022	noor022
G. Quispel	30 mei 1916	Rotterdam	2 maart 2006		https://www.dbnl.org/auteurs/auteur.php?id=quis001	quis001
Lies Wolters	1913				https://www.dbnl.org/auteurs/auteur.php?id=wolt041	wolt041
Bernhard prins der Nederlanden	29 juni 1911	Jena	1 december 2004	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=bern052	bern052
Fernán Silva Valdés	1887	Montevideo	1975		https://www.dbnl.org/auteurs/auteur.php?id=silv014	silv014
J.A. van Praag	26 februari 1895	Amsterdam	30 oktober 1969	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=praa002	praa002
Pablo Neruda	12 juli 1904	Parral	23 september 1973	Santiago	https://www.dbnl.org/auteurs/auteur.php?id=neru003	neru003
Ventura García Calderón	23 februari 1886	Parijs	27 oktober 1959	Parijs	https://www.dbnl.org/auteurs/auteur.php?id=garc005	garc005
José Gorostiza	1901	Mexico	1973		https://www.dbnl.org/auteurs/auteur.php?id=goro002	goro002
A. Methöfer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=meth009	meth009
Rufino Blanco Fombona	17 juni 1874	Venezuela	17 oktober 1944	Buenos Aires	https://www.dbnl.org/auteurs/auteur.php?id=blan057	blan057
Joaquín E. Weiss y Sánchez	1894		1968		https://www.dbnl.org/auteurs/auteur.php?id=weis016	weis016
Menotti del Picchia	20 maart 1892	São Paolo	23 augustus 1988	São Paolo	https://www.dbnl.org/auteurs/auteur.php?id=picc005	picc005
Martha de Castro	1912				https://www.dbnl.org/auteurs/auteur.php?id=cast056	cast056
W.H. van Helsdingen	4 maart 1888	Ambon	3 november 1985	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=hels014	hels014
A.I. Spits	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=spit010	spit010
E.P.M. Tervooren					https://www.dbnl.org/auteurs/auteur.php?id=terv005	terv005
A. Jonkers					https://www.dbnl.org/auteurs/auteur.php?id=jonk023	jonk023
R.A.J. van Lier	24 augustus 1914	Paramaribo	28 mei 1987	Wageningen	https://www.dbnl.org/auteurs/auteur.php?id=lier005	lier005
J. van de Walle	2 maart 1912	Den Haag	6 juni 2000	Hertogenbosch	https://www.dbnl.org/auteurs/auteur.php?id=wall006	wall006
Henk Dennert	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=denn005	denn005
W.J. Jansen	1918				https://www.dbnl.org/auteurs/auteur.php?id=jans235	jans235
