Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Antoon Thiry	8 september 1888	Leuven	13 juli 1954	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=thir001	thir001	Antoon Jan Frans	Thiry	Antoon Thiry	uitgever/boekdrukker/vertaler	Leuven	1888-09-08	Antwerpen	7/13/1954	male
E.J. Dijksterhuis	28 oktober 1892	Tilburg	18 mei 1965	De Bilt	https://www.dbnl.org/auteurs/auteur.php?id=dijk027	dijk027	Eduard Jan	Dijksterhuis	E.J. Dijksterhuis	wiskundige/natuurwetenschapper	Tilburg	1892-10-28	De Bilt	5/18/1965	male
H.A. Enno van Gelder	7 oktober 1889	Gouda	11 mei 1973	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=geld003	geld003	Herman Arend Enno	van Gelder	H.A. Enno van Gelder	leraar/archeoloog/hoogleraar/docent/historicus	Gouda	1889-10-07	Den Haag	5/11/1973	male
Marcus van Blankenstein	13 juni 1880	Ouderkerk aan den IJsel	18 september 1964	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=blan015	blan015	Marcus	van Blankenstein	M. van Blankensteijn/M. van Blankensteyn/Marc van Blankenstein/Marcus van Blankenstein	letterkundige (NIET-neerl.)/redacteur/journalist	Ouderkerk aan den IJsel	1880-06-13	Den Haag	9/18/1964	male
Johan Fabricius	24 augustus 1899	Bandung	21 juni 1981	Glimmen	https://www.dbnl.org/auteurs/auteur.php?id=fabr005	fabr005	Johan Johannes	Fabricius	Johan Fabricius	tekenaar/journalist/redacteur/illustrator/toneelspeler/beeldend kunstenaar		1899-08-24	Glimmen	6/21/1981	male
Jo de Wit	21 mei 1894	Rotterdam	11 november 1973	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=wit_007	wit_007	Jo	de Wit	Jo de Wit/Jo van Dullemen de Wit		Rotterdam	1894-05-21	Den Haag	11/11/1973	female
Henri Bakels	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=bake019	bake019	Henri	Bakels	Henri Bakels			18xx		19xx	male
Hendrika Ghijsen	22 november 1884	Middelburg	25 maart 1976	Middelburg	https://www.dbnl.org/auteurs/auteur.php?id=ghij001	ghij001	Hendrika Catharina Maria	Ghijsen	Hendrika Ghijsen	archeoloog/historicus	Middelburg	1884-11-22	Middelburg	3/25/1976	female
F. Adama van Scheltema	1884				https://www.dbnl.org/auteurs/auteur.php?id=adam021	adam021	Frederik	Adama van Scheltema	F. Adama van Scheltema			1884		000?	male
A. Geyl	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=geyl002	geyl002	A.	Geyl	A. Geyl	redacteur/journalist		18xx			male
L. Ali Cohen	1895	Semarang	1970	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=ali_001	ali_001	Lodi	Ali Cohen	L. Ali Cohen/Lodewijk Ali Cohen	advocaat/jurist		1895	Haarlem	1970	male
Achilles Mussche	12 augustus 1896	Gent	30 augustus 1974	Gent	https://www.dbnl.org/auteurs/auteur.php?id=muss001	muss001	Achilles Josephus	Mussche	Achilles Mussche	onderwijzer (basisschool)	Gent	1896-08-12	Gent	8/30/1974	male
Johan Huijts	1897	Rotterdam	1995		https://www.dbnl.org/auteurs/auteur.php?id=huij003	huij003	Johan Louis Victor Antoon	Huijts	Johan Huijts		Rotterdam	1897		1995	male
W.M.F. Mansvelt	10 februari 1891	Stellenbosch	1945	Java	https://www.dbnl.org/auteurs/auteur.php?id=mans021	mans021	Willem Maurits Frederik	Mansvelt	W.M.F. Mansvelt			1891-02-10		1945	male
Lode Baekelmans	26 januari 1879	Antwerpen	11 mei 1965	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=baek004	baek004	Ludovicus Henricus	Baekelmans	Lode Baekelmans	ambtenaar/journalist/bibliothecaris/redacteur/onderwijzer (basisschool)/archivaris	Antwerpen	1879-01-26	Antwerpen	5/11/1965	male
J.P. Fockema Andreae	30 juli 1879	Leiden	27 juli 1949	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=fock033	fock033	Joachimus Pieter	Fockema Andreae	J.P. Fockema Andreae	staatsman/bestuurder/politicus	Leiden	1879-07-30	Utrecht	7/27/1949	male
Edith Werkendam	14 oktober 1896	Amsterdam	23 april 1953	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=werk002	werk002	Judith (Edith)	Werkendam	Edith Werkendam		Amsterdam	1896-10-14	Brussel	4/23/1953	female
J. Faber	1870		1952		https://www.dbnl.org/auteurs/auteur.php?id=fabe010	fabe010	Jan	Faber	J. Faber	onderwijzer (basisschool)		1870		1952	male
Frits G. Tingen	1900		1982		https://www.dbnl.org/auteurs/auteur.php?id=ting003	ting003	Frederik Gerhard (Frits)	Tingen	Frits G. Tingen			1900		1982	male
A.M. Hammacher	12 november 1897	Middelburg	19 april 2002	Abano Terme	https://www.dbnl.org/auteurs/auteur.php?id=hamm006	hamm006	Abraham Marie Wilhelmus Jacobus (Bram)	Hammacher	A.M. Hammacher	kunsthistoricus/kunsthandelaar	Middelburg	1897-11-12		4/19/2002	male
Isidoor van Beugem	23 september 1889	Moorsel	13 december 1943	Gent	https://www.dbnl.org/auteurs/auteur.php?id=beug001	beug001	Isidoor	van Beugem	Isidoor Verdoodt/Isidoor van Beugem		Moorsel	1889-09-23	Gent	12/13/1943	male
Elisabeth Reitsma	14 januari 1897	Groningen	3 oktober 1982		https://www.dbnl.org/auteurs/auteur.php?id=reit002	reit002	Elisabeth Maria	Reitsma	E. Eekhout-Reitsma/Elisabeth Reitsma/Karin Larsen		Groningen	1897-01-14		10/3/1982	female
L.M.A. von Schmid	6 juli 1859	Maastricht	19 februari 1942	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=schm023	schm023	L.M.A.	von Schmid	L.M.A. von Schmid	officier/militair	Maastricht	1859-07-06	Den Haag	2/19/1942	male
Sybrandi Braak	7 oktober 1871	Aalsmeer	13 maart 1953	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=braa018	braa018	Sybrandi	Braak	Sybrandi Braak	leraar/docent/hoogleraar	Aalsmeer	1871-10-07	Wassenaar	3/13/1953	male
C.M. van Hille-Gaerthé	17 mei 1881	Zwolle	31 december 1958	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=hill001	hill001	Catharina Magdalena	van Hille-Gaerthé	C.M. van Hille-Gaerthé		Zwolle	1881-05-17	Den Haag	12/31/1958	female
Petrus van Renesse	15de eeuw		15de eeuw		https://www.dbnl.org/auteurs/auteur.php?id=rene019	rene019	Petrus	van Renesse	Petrus van Renesse	leraar/docent/hoogleraar		14xx		14xx	male
André Jolles	7 augustus 1874	Den Helder	22 februari 1946	Leipzig	https://www.dbnl.org/auteurs/auteur.php?id=joll001	joll001	André	Jolles	André Jolles		Den Helder	1874-08-07		2/22/1946	male
E.F. Kossmann	1861	St. Petersburg	1945		https://www.dbnl.org/auteurs/auteur.php?id=koss004	koss004	Ernst Ferdinand	Kossmann	E.F. Kossmann	onderwijzer (basisschool)		1861		1945	male
D.Th. Jaarsma	1878	IJlst	1959		https://www.dbnl.org/auteurs/auteur.php?id=jaar001	jaar001	Doede Thieszes	Jaarsma	D.Th. Jaarsma	onderwijzer (basisschool)	IJlst	1878		1959	male
B.H. Rethmeier	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=reth003	reth003	B.H.	Rethmeier	B.H. Rethmeier			18xx			male
Gerbert Scholten	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=scho483	scho483	Gerbert	Scholten	Gerbert Scholten			18xx			male
E.C. Abendanon	2 december 1878	Pati	5 augustus 1962	Monte Carlo	https://www.dbnl.org/auteurs/auteur.php?id=aben009	aben009	Eduard Cornelius	Abendanon	E.C. Abendanon			1878-12-02		8/5/1962	male
F. Dijkema	5 januari 1877	Ezumazyl	3 maart 1944	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=dijk103	dijk103	Fokke	Dijkema	F. Dijkema		Ezumazyl	1877-01-05	Amsterdam	3/3/1944	male
J.P.A. François	5 juli 1889	Den Haag	7 oktober 1978	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=fran048	fran048	Jean Pierre Adrien	François	J.P.A. François	advocaat/jurist	Den Haag	1889-07-05	Den Haag	10/7/1978	male
H.H.J. Moulijn-Haitsma Mulier	1877		1948		https://www.dbnl.org/auteurs/auteur.php?id=moul001	moul001	Hester Henriette Jacoba	Moulijn-Haitsma Mulier	H.H.J. Moulijn-Haitsma Mulier			1877		1948	female
Nine van der Schaaf	29 april 1882	Terhorne	16 juli 1973	Bloemendaal	https://www.dbnl.org/auteurs/auteur.php?id=scha004	scha004	Nine	van der Schaaf	Nine van der Schaaf	onderwijzer (basisschool)	Terhorne	1882-04-29	Bloemendaal	7/16/1973	female
Jo Landheer	16 oktober 1900	Rotterdam	7 oktober 1986	Apeldoorn	https://www.dbnl.org/auteurs/auteur.php?id=land005	land005	Johanna Petronella	Landheer	Jo Landheer		Rotterdam	10/16/1900	Apeldoorn	10/7/1986	female
P. Verhagen Lzn.	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verh149	verh149	P.	Verhagen Lzn.	P. Verhagen Lzn.	architect/bouwkundig ingenieur/bouwmeester		18xx			male
A.B. Droogleever Fortuyn	7 november 1886	Rotterdam	13 augustus 1970	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=droo017	droo017	Aemilius Bernardus	Droogleever Fortuyn	A.B. Droogleever Fortuyn/Æmilius Bernardus Droogleever Fortuyn	leraar/docent/hoogleraar	Rotterdam	1886-11-07	Utrecht	8/13/1970	male
J. Burger	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=burg086	burg086	J.	Burger	J. Burger			18xx			male
J.J.L. Duyvendak	28 juni 1889	Harlingen	9 juli 1954	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=duyv002	duyv002	Jan Julius Lodewijk	Duyvendak	J.J.L. Duijvendak/J.J.L. Duyvendak/Jan Lodewijks	journalist/leraar/hoogleraar/vertaler/redacteur/docent	Harlingen	1889-06-28	Leiden	7/9/1954	male
Gerard Brom	17 april 1882	Utrecht	30 november 1959	Wijchen	https://www.dbnl.org/auteurs/auteur.php?id=brom002	brom002	Gerard Bartel	Brom	Gerard Brom	leraar/docent/hoogleraar	Utrecht	1882-04-17	Wijchen	11/30/1959	male
J.A. Lambert-van der Kolf	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=lamb087	lamb087	J.A.	Lambert-van der Kolf	J.A. Lambert-van der Kolf	vertaler		18xx		19xx	female
C. Bakker	1863	Koog aan de Zaan	1933	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=bakk071	bakk071	Cornelis	Bakker	C. Bakker	apotheker/medicus	Koog aan de Zaan	1863	Utrecht	1933	male
J. Bierens de Haan	3 mei 1892	Ootmarsum	18 november 1971		https://www.dbnl.org/auteurs/auteur.php?id=bier010	bier010	Johan	Bierens de Haan	J. Bierens de Haan/J. Bierens de Haan Jr.	advocaat/jurist	Ootmarsum	1892-05-03		11/18/1971	male
J.W. Marmelstein					https://www.dbnl.org/auteurs/auteur.php?id=marm003	marm003	Johan Wilhelm	Marmelstein	J.W. Marmelstein						male
Miek Janssen	1890	Arnhem	1953		https://www.dbnl.org/auteurs/auteur.php?id=jans044	jans044	Miek	Janssen	Miek Janssen	schilder	Arnhem	1890		1953	female
G.J.D.C. Stempels	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=stem011	stem011	G.J.D.C.	Stempels	G.J.D.C. Stempels			18xx			male
Jenny Mollinger	1897		1958		https://www.dbnl.org/auteurs/auteur.php?id=moll056	moll056	Jenny	Mollinger	Jenny Mollinger			1897		1958	female
W. Kuenen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=kuen004	kuen004	W.	Kuenen	W. Kuenen			18xx			male
A.S. Oppenheim	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=oppe023	oppe023	A.S.	Oppenheim	A.S. Oppenheim			18xx			male
J.M. Bottemanne	1872	Leiden	15 april 1936	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bott015	bott015	Joseph Martinus	Bottemanne	J.M. Bottemanne	ambtenaar	Leiden	1872	Den Haag	4/15/1936	male
Adriaan Daniel Fokker	17 augustus 1887	Buitenzorg	24 september 1972	Beekbergen	https://www.dbnl.org/auteurs/auteur.php?id=fokk015	fokk015	Adriaan Daniel	Fokker	Adriaan Daniel Fokker	musicus/leraar/hoogleraar/jongleur/docent/minstreel/natuurwetenschapper		1887-08-17	Beekbergen	9/24/1972	male
Willem Leendertz	16 december 1883	Veenwouden	11 juli 1970	Santpoort-Zuid	https://www.dbnl.org/auteurs/auteur.php?id=leen023	leen023	Willem	Leendertz	Willem Leendertz	filosoof	Veenwouden	1883-12-16	Santpoort-Zuid	7/11/1970	male
Beatrice Willing	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=will070	will070	Beatrice	Willing	Beatrice Willing			19xx			female
J.J. van Loghem	1878		1968		https://www.dbnl.org/auteurs/auteur.php?id=logh007	logh007	Johannes Jacobus	van Loghem	J.J. van Loghem	apotheker/medicus		1878		1968	male
Frans Maurits de Jaeger	11 mei 1877	Den Haag	2 maart 1945	Haren	https://www.dbnl.org/auteurs/auteur.php?id=jaeg014	jaeg014	Frans Maurits	de Jaeger	Frans Maurits de Jaeger	natuurwetenschapper	Den Haag	1877-05-11	Haren	3/2/1945	male
Jooske Brandeler-den Beer Poortugael	17 juni 1892	Den Haag	14 oktober 1983	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bran070	bran070	Josine Imilie	Brandeler-den Beer Poortugael	J. den Beer Poortugael/Jooske Brandeler-den Beer Poortugael		Den Haag	1892-06-17	Den Haag	10/14/1983	female
J. Aalbers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=aalb006	aalb006	Jacobus	Aalbers	J. Aalbers			18xx			male
C.W. van der Pot	25 januari 1880	Zevenbergen	26 juni 1960	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=pot_008	pot_008	Combertus Willem	van der Pot	C.W. van der Pot	advocaat/ambtenaar/jurist	Zevenbergen	1880-01-25	Den Haag	6/26/1960	male
G.J. Geers	10 december 1891		2 mei 1965	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=geer013	geer013	Gerardus Johannes	Geers	G.J. Geers/L.S. Palder	letterkundige (NIET-neerl.)/vertaler	Delft	1891-12-10	Groningen	5/2/1965	male
Cornelia Serrurier	1879		1962		https://www.dbnl.org/auteurs/auteur.php?id=serr009	serr009	Cornelia	Serrurier	Cornelia Serrurier	leraar/docent/hoogleraar		1879		1962	female
J.P. Wesselink-van Rossum	1860		1930		https://www.dbnl.org/auteurs/auteur.php?id=wess034	wess034	Joanna Petronella	Wesselink-van Rossum	J.P. Wesselink-van Rossum	vertaler		1860		1930	female
H.M.J. Oldewelt	17 juli 1897		1986		https://www.dbnl.org/auteurs/auteur.php?id=olde004	olde004	Hendrik Marie Johan	Oldewelt	H.M.J. Oldewelt	filosoof		1897-07-17		1986	male
G.W.J. Bruins	6 juli 1883	Zutphen	22 maart 1948	Washington	https://www.dbnl.org/auteurs/auteur.php?id=brui046	brui046	Gijsbert Weyer Jan	Bruins	G.W.J. Bruins	leraar/docent/ambtenaar/hoogleraar	Zutphen	1883-07-06		3/22/1948	male
Elize van Kaathoven	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=kaat002	kaat002	Elize	van Kaathoven	Elize van Kaathoven			19xx			female
J.H. Kramers	26 februari 1891	Rotterdam	17 december 1951	Oegstgeest	https://www.dbnl.org/auteurs/auteur.php?id=kram017	kram017	Johannes Hendrik	Kramers	J.H. Kramers	letterkundige (NIET-neerl.)	Rotterdam	1891-02-26	Oegstgeest	12/17/1951	male
Siegfried E. van Praag	8 augustus 1899	Amsterdam	16 maart 2002	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=praa006	praa006	Siegfried Emanuel	van Praag	Siegfried E. van Praag	vertaler	Amsterdam	1899-08-08	Brussel	3/16/2002	male
Teatse Eeltsje Holtrop	1865	IJlst	1925		https://www.dbnl.org/auteurs/auteur.php?id=holt009	holt009	Teatse Eeltsje	Holtrop	Teatse Eeltsje Holtrop		IJlst	1865		1925	male
A.M. de Jong	23 december 1893	Oostburg	21 november 1969	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jong260	jong260	Adriaan Marie	de Jong	A.M. de Jong	zakenman/indust./archeoloog/koopman/historicus	Oostburg	1893-12-23	Amsterdam	11/21/1969	male
Constant van Wessem	25 april 1891	Den Haag	21 december 1954	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=wess008	wess008	Constant	van Wessem	Constant van Wessem/Frederik Chasalle		Den Haag	1891-04-25	Wassenaar	12/21/1954	male
Daniël Crena de Iongh	21 april 1888	Dordrecht	26 november 1970	New York	https://www.dbnl.org/auteurs/auteur.php?id=cren003	cren003	Daniël	Crena de Iongh	Daniël Crena de Iongh	jurist/staatsman/bestuurder/politicus/advocaat	Dordrecht	1888-04-21	New York	11/26/1970	male
Sybrand Allard Waller Zeper	29 november 1874	Leeuwarden	4 januari 1937	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=zepe001	zepe001	Sybrand Allard Waller	Zeper	S.A. Waller Zeper/Sybrand Allard Waller Zeper	archeoloog/historicus	Leeuwarden	1874-11-29	Leeuwarden	1/4/1937	male
G.H. Hintzen	1851		1932		https://www.dbnl.org/auteurs/auteur.php?id=hint003	hint003	George Herman	Hintzen	G.H. Hintzen			1851		1932	male
H. Enno van Gelder	16 februari 1876	Amsterdam	24 juni 1960	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=geld004	geld004	Hendrik Enno	van Gelder	H. Enno van Gelder	kunsthistoricus/kunsthandelaar	Amsterdam	1876-02-16	Den Haag	6/24/1960	male
H.C. Hartevelt	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=hart163	hart163	H.C.	Hartevelt	H.C. Hartevelt			18xx		19xx	male
Albert Plasschaert	1874	Sas van Gent	1941		https://www.dbnl.org/auteurs/auteur.php?id=plas003	plas003	Albert Charles Auguste	Plasschaert	Albert Plasschaert		Sas van Gent	1874		1941	male
Johannes Tielrooy	7 oktober 1886	Texel	17 augustus 1953	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=tiel006	tiel006	Johannes Bernardus	Tielrooy	Johannes Tielrooy	letterkundige (NIET-neerl.)		1886-10-07	Amsterdam	8/17/1953	male
Theodoor Jan Stomps	1885		1973		https://www.dbnl.org/auteurs/auteur.php?id=stom008	stom008	Theodoor Jan	Stomps	Theodoor Jan Stomps			1885		1973	male
H.L. van Oordt	1857		1935		https://www.dbnl.org/auteurs/auteur.php?id=oord012	oord012	Hermannus Lubertus	van Oordt	H.L. van Oordt			1857		1935	male
P. Verdoes	1886				https://www.dbnl.org/auteurs/auteur.php?id=verd019	verd019	Pieter	Verdoes	P. Verdoes		Schiedam	1886-11-15	Rotterdam	1964-23-x0	male
W.E. van Wijk	23 januari 1887	Amsterdam	14 nomvember 1961	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=wijk015	wijk015	Walter Emile	van Wijk	W.E. van Wijk	wiskundige/natuurwetenschapper	Amsterdam	1887-01-23	Arnhem	1961-no-14	male
G.J.C.A. Pop	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=pop_004	pop_004	G.J.C.A.	Pop	G.J.C.A. Pop			18xx		19xx	male
René Klinkenbergh	1886		1973		https://www.dbnl.org/auteurs/auteur.php?id=klin002	klin002	René	Klinkenbergh	Klinkenberg/René Klinkenbergh	rk-geestelijke/kloosterling		1886		1973	male
J.C. Baak	14 februari 1897	Nijmegen	25 augustus 1945	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=baak003	baak003	Jan Carel	Baak	Carel Baak/J.C. Baak	advocaat/jurist	Nijmegen	1897-02-14	Amsterdam	8/25/1945	male
Urbain van de Voorde	27 oktober 1893	Blankenberge	16 juli 1966	Leuven	https://www.dbnl.org/auteurs/auteur.php?id=voor002	voor002	Urbain	van de Voorde	Urbain van de Voorde		Blankenberge	1893-10-27	Leuven	7/16/1966	male
J.A.A.H. de Beaufort	22 augustus 1876	Leusden	8 april 1947	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=beau035	beau035	Jan Aernout Anne Hendrik	de Beaufort	J.A.A.H. de Beaufort		Leusden	1876-08-22	Amersfoort	4/8/1947	male
Wouter Hutschenruyter	1859		1943		https://www.dbnl.org/auteurs/auteur.php?id=huts001	huts001	Wouter	Hutschenruyter	Wouter Hutschenruyter			1859		1943	male
P.E. van Renesse	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=rene059	rene059	P.E.	van Renesse	P.E. van Renesse			18xx			male
C.J. Wolterbeek	5 april 1766	Steenderen	23 mei 1845	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=wolt018	wolt018	Constantijn Johan	Wolterbeek	C.J. Wolterbeek	zeevarende/officier/militair	Steenderen	1766-04-05	Den Haag	1845-05-23	male
N.J. Krom	5 september 1883		8 maart 1945		https://www.dbnl.org/auteurs/auteur.php?id=krom005	krom005	Nicolaas Johannes	Krom	N.J. Krom		Hertogenbosch	1883-09-05	Leiden	3/8/1945	male
G.A.J. Hazeu	1870		1929		https://www.dbnl.org/auteurs/auteur.php?id=haze020	haze020	Godard Arend Johannes	Hazeu	G.A.J. Hazeu			1870		1929	male
Agatha Seger	1902		1993		https://www.dbnl.org/auteurs/auteur.php?id=sege001	sege001	Agatha	Seger	Agatha Hagtingius-Seger/Agatha Seger/Renny van Royen			1902		1993	female
H.L. van Duyl	9 oktober 1875	Kampen	8 december 1942	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=duyl003	duyl003	Henri Leonard	van Duyl	H.L. van Duyl	advocaat/jurist	Kampen	1875-10-09	Utrecht	12/8/1942	male
Elisabeth Zernike	8 juli 1891	Amsterdam	12 maart 1982	Laren	https://www.dbnl.org/auteurs/auteur.php?id=zern001	zern001	Elisabeth	Zernike	Elisabeth Zernike		Amsterdam	1891-07-08	Laren	3/12/1982	female
Willem de Mérode	2 september 1887	Spijk	22 mei 1939	Eerbeek	https://www.dbnl.org/auteurs/auteur.php?id=mero001	mero001	Willem	de Mérode	Joost van Keppel/Willem Eduard Keuning/Willem de Mérode		Spijk	1887-09-02	Eerbeek	5/22/1939	male
Pierre Blussé	13 maart 1818		19 november 1908	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=blus006	blus006	Pierre Louis François	Blussé	P.L.F. Blussé/Petrus Ludovicus Franciscus Blussé/Pierre Blussé/Pieter Lodewijk Frans Blussé	jurist/staatsman/bestuurder/politicus/advocaat	Leiden	1818-03-13	Den Haag	11/19/1908	male
Willem van der Kaay	5 mei 1831		29 juli 1918	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kaay001	kaay001	Willem	van der Kaay	Willem van der Kaay	advocaat/jurist	Alkmaar	1831-05-05	Den Haag	7/29/1918	male
A. Kool	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=kool031	kool031	A.	Kool	A. Kool	staatsman/bestuurder/politicus		18xx			male
Lodewijk Franck	28 november 1868	Antwerpen	31 december 1937	Wijnegem	https://www.dbnl.org/auteurs/auteur.php?id=fran036	fran036	Ludovicus Maria Franciscus	Franck	Lodewijk Franck/Louis Franck/Victor Ponos	staatsman/bestuurder/politicus	Antwerpen	1868-11-28	Wijnegem	12/31/1937	male
D. Loenen	14 februari 1890	Nieuw-Loosdrecht	24 mei 1966		https://www.dbnl.org/auteurs/auteur.php?id=loen004	loen004	Dirk	Loenen	D. Loenen		Nieuw-Loosdrecht	1890-02-14		5/24/1966	male
G.A. van Klinkenberg	1900	Amerongen	2003		https://www.dbnl.org/auteurs/auteur.php?id=klin001	klin001	Gerard Anne	van Klinkenberg	G.A. van Klinkenberg	onderwijzer (basisschool)/natuurwetenschapper	Amerongen	1900		2003	male
J.W. Teillers	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=teil002	teil002	J.W.	Teillers	J.W. Teillers			18xx			male
P.J. Meertens	6 september 1899	Middelburg	28 oktober 1985	Amstelveen	https://www.dbnl.org/auteurs/auteur.php?id=meer035	meer035	Pieter Jacobus	Meertens	P.J. Meertens		Middelburg	1899-09-06	Amstelveen	10/28/1985	male
A. Gildemeester	21 augustus 1828		12 maart 1901		https://www.dbnl.org/auteurs/auteur.php?id=gild005	gild005	Adriaan	Gildemeester	A. Gildemeester	architect/bouwkundig ingenieur/bouwmeester/staatsman/bestuurder/politicus	Amsterdam	1828-08-21	Den Haag	3/12/1901	male
A.E. Kluit-de Clercq	1867		1930		https://www.dbnl.org/auteurs/auteur.php?id=klui012	klui012	Anna Elizabeth	Kluit-de Clercq	A.E. Kluit-de Clercq			1867		1930	female
F.C. Dominicus	29 december 1884	Wemeldinge	9 juni 1976	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=domi001	domi001	Foort Cornelis	Dominicus	F.C. Dominicus	leraar/docent/hoogleraar	Wemeldinge	1884-12-29	Den Haag	6/9/1976	male
Willem de Clercq	15 januari 1795	Amsterdam	4 februari 1844	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=cler017	cler017	Willem	de Clercq	Willem de Clercq	koopman/zakenman/indust.	Amsterdam	1795-01-15	Amsterdam	1844-02-04	male
E.D. van Dissel	19 augustus 1872	Bladel	7 november 1959	Ellecom	https://www.dbnl.org/auteurs/auteur.php?id=diss006	diss006	Etienne Daniël	van Dissel	E.D. van Dissel	architect/bouwkundig ingenieur/natuurwetenschapper/bouwmeester	Bladel	1872-08-19	Ellecom	11/7/1959	male
H. Ribbius	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=ribb006	ribb006	H.	Ribbius	H. Ribbius			19xx			male
P. Roosenburg	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=roos066	roos066	P.	Roosenburg	P. Roosenburg	vertaler		18xx			male
W. Feuilletau de Bruyn	11 juli 1886	Palembang	13 mei 1972	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=feui002	feui002	Willem Karel Hendrik	Feuilletau de Bruyn	W. Feuilletau de Bruyn	officier/natuurwetenschapper/militair		1886-07-11	Den Haag	5/13/1972	male
W.H. Staverman	3 december 1881	Twello	19 november 1956	Deventer	https://www.dbnl.org/auteurs/auteur.php?id=stav003	stav003	Werner Hendrik	Staverman	W.H. Staverman	leraar/docent/hoogleraar	Twello	1881-12-03	Deventer	11/19/1956	male
J.H. van Zanten	1874		1944		https://www.dbnl.org/auteurs/auteur.php?id=zant013	zant013	Jakob Herman	van Zanten	J.H. van Zanten			1874		1944	male
Ferrad Whaley Hudig	25 juni 1883	Rotterdam	31 maart 1937	Aerdenhout	https://www.dbnl.org/auteurs/auteur.php?id=hudi001	hudi001	Ferrand Whaley	Hudig	Ferrand Whaley Hudig		Rotterdam	1883-06-25	Aerdenhout	3/31/1937	male
Willem van Doorn	1875	Arnhem	1959		https://www.dbnl.org/auteurs/auteur.php?id=door011	door011	Willem	van Doorn	Michiel van Dietvorst/Willem van Doorn	onderwijzer (basisschool)/leraar/docent/hoogleraar	Arnhem	1875		1959	male
A.G.N. Swart	1867		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=swar045	swar045	Allart Gerard Nicolaas	Swart	A.G.N. Swart			1867		19xx	male
J. Reitsma	18de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=reit019	reit019	J.	Reitsma	J. Reitsma	apotheker/medicus		17xx			male
